Date,Open,High,Low,Close,Volume,Adj Close
2014-05-16,4446.68,4456.31,4418.59,4456.28,139689200,4456.28
2014-05-15,4497.13,4512.62,4438.49,4444.93,144233600,4444.93
2014-05-14,4505.54,4506.56,4489.41,4501.04,97814900,4501.04
2014-05-13,4504.51,4511.35,4492.46,4505.02,126209200,4505.02
2014-05-12,4467.38,4495.72,4463.05,4493.65,124775600,4493.65
2014-05-09,4491.18,4496.67,4465.77,4477.28,155409900,4477.28
2014-05-08,4455.28,4507.24,4440.86,4507.24,127264600,4507.24
2014-05-07,4414.34,4453.22,4402.78,4446.44,134882300,4446.44
2014-05-06,4474.91,4477.86,4420.71,4428.07,125181200,4428.07
2014-05-05,4453.52,4467.37,4400.91,4462.69,83750800,4462.69
2014-05-02,4473.83,4485.10,4447.44,4458.17,117261200,4458.17
2014-04-30,4473.94,4491.29,4470.75,4487.39,137774800,4487.39
2014-04-29,4463.60,4504.14,4449.94,4497.68,119189200,4497.68
2014-04-28,4455.05,4477.62,4444.46,4460.53,90359100,4460.53
2014-04-25,4459.17,4473.48,4431.38,4443.63,95383500,4443.63
2014-04-24,4474.32,4499.32,4440.63,4479.54,143874900,4479.54
2014-04-23,4479.71,4480.62,4449.01,4451.08,116615800,4451.08
2014-04-22,4451.91,4488.05,4443.90,4484.21,104076000,4484.21
2014-04-17,4412.41,4432.64,4392.06,4431.81,120776700,4431.81
2014-04-16,4388.85,4405.66,4375.05,4405.66,122699300,4405.66
2014-04-15,4380.50,4404.04,4344.03,4345.35,122058300,4345.35
2014-04-14,4345.62,4384.56,4319.28,4384.56,132160900,4384.56
2014-04-11,4378.93,4384.03,4333.87,4365.86,138154100,4365.86
2014-04-10,4456.71,4466.19,4408.61,4413.49,103990700,4413.49
2014-04-09,4431.36,4454.74,4426.39,4442.68,96745100,4442.68
2014-04-08,4443.21,4448.43,4384.66,4424.83,149398000,4424.83
2014-04-07,4453.19,4464.04,4432.29,4436.08,127786600,4436.08
2014-04-04,4459.87,4496.54,4447.00,4484.55,113377600,4484.55
2014-04-03,4430.68,4469.84,4417.35,4449.33,98980900,4449.33
2014-04-02,4429.39,4438.63,4421.50,4430.86,103632600,4430.86
2014-04-01,4408.74,4440.04,4401.29,4426.72,110908200,4426.72
2014-03-31,4426.83,4430.90,4390.77,4391.50,89922800,4391.50
2014-03-28,4391.71,4411.38,4388.16,4411.26,99527500,4411.26
2014-03-27,4374.94,4390.17,4359.29,4379.06,135638200,4379.06
2014-03-26,4358.04,4398.48,4353.86,4385.15,100125800,4385.15
2014-03-25,4286.76,4351.61,4286.76,4344.12,115775900,4344.12
2014-03-24,4321.99,4332.17,4266.98,4276.34,130239400,4276.34
2014-03-21,4333.45,4353.39,4323.27,4335.28,181677900,4335.28
2014-03-20,4277.12,4328.18,4261.42,4327.91,144369900,4327.91
2014-03-19,4312.87,4329.48,4295.06,4308.06,102362300,4308.06
2014-03-18,4264.34,4341.84,4250.47,4313.26,125862400,4313.26
2014-03-17,4216.91,4277.06,4211.62,4271.96,105750500,4271.96
